Name,count
Ed,3
Shaun,3
Scientist 2,3
Speckie 2,3
Boy #3,3
Man 7,3
Emcee,3
"Advertisement: (Instrumental: ""Tuff Gum""",3
Pet owner 1,3
Imperial Officer Dan,3
Younger Doofenshmirtz,3
David,3
Doofenshimrtz,3
Animal Control Guy,3
Pilot,3
Shop owner,3
Isabella and Baljeet,3
Haney,3
Cow,3
Commander,3
Ray Liotta,3
Past Doofenshmirtz,3
Dr. Bloodpudding,3
Leia,3
Maitre d',3
Linda (cont'd.),3
Phone,3
Jameson,3
Hot Dog Vendor,3
Airline Announcer,3
Bad Future Major Monogram,3
Hilda,3
Male Realtor,3
Farmer's wife,3
Children,3
Phineastein,3
Hostess,3
Librarian,3
Imperial Officer 3,3
Person 2,3
Imperial Officer 2,3
Thad,3
Street Performer 2,3
Dimitri,3
Mother,3
Gaston Le Mode (on TV),3
Candace's Brain #1,3
Baljeet #2,3
Dating Show Host,3
Candac,3
Man 6,3
Old man,3
Mrs. Garcia-Shapiro,3
Shane,3
Computer Voice,3
Driving instructor,3
Stacy and Candace,3
Missy,3
Hipster Guy,3
Ranger,3
Cop 2,3
Louis,3
Abe Robot,3
Store employee,3
Heinz's Father,3
Abernathy,3
Mr. Fluffy Pants,3
Phineas hologram,3
Maids,3
Mrs. Tjinder,3
Janitor,3
Stubbings,3
Mailman,3
Shady Joe,3
Tony,3
Kid #1,3
Kid #2,3
Kid #3,3
Biker,3
Explorer,3
Mom Attractor,3
Computer voice,3
Referee,3
Inspector Initials,3
Danny Jacob,3
Paul's father,3
Employee #2,3
Map Montage,2
Cow Cup,2
Major Hologram,2
Tusken Raider,2
Hench-Robot,2
Phineas and the gang,2
Man on TV,2
Slushy Dawg manager,2
British female voice,2
Torbo,2
Linda-2,2
Office Stormtrooper 2,2
Ned,2
Store Owner,2
Grandma,2
Patient,2
Female computerized voice,2
Neighbor,2
Normbots,2
Milk man,2
Security guard,2
Auctioneer,2
Doctor,2
Mole Person,2
Tyler,2
Office Stormtrooper 1,2
Phineas and Clyde,2
Old Man,2
Elderly lady,2
Singers and Lindana,2
Heat laser,2
Mad scientist,2
Stormtrooper 5,2
Mail Lady,2
Croupier,2
Announcer 2,2
French Man,2
Admiral Acronym,2
Linda and Lawrence,2
Sankei,2
Director Dipthong,2
Juror number 9,2
Candace's Brain #2,2
Doofenshmirtzs,2
Baljeet and Isabella,2
All but Candace,2
Teacher,2
"Isabella, Buford and Baljeet",2
Buford's grandfather,2
Phineas/Isabella,2
Fisherman,2
Robber,2
D. D.,2
Thad's girlfriend,2
Isabella recording,2
Phineas recording,2
Susanne,2
Mr. Tomato,2
Ducky Momo,2
"Phineas, Isabella, Buford, and Baljeet",2
Worker 1,2
Santa Claus,2
Foreman,2
Lyla Lolliberry,2
Border Patroller,2
Baljeet #1,2
Baljeet #4,2
Sandwich woman,2
Mustached man,2
Dink,2
Teenage Heinz,2
Jimmy,2
Doofenshmirtz #2,2
Passenger 3,2
Passenger 2,2
Passenger,2
Judge 2,2
Judge 1,2
Debater,2
Girl 4,2
Father,2
Voter 2,2
Voter 1,2
Female Meap Operator,2
President Obama,2
Archeologist,2
Mongols,2
Boy #2,2
Ambassador,2
Fabiana,2
2nd Guy,2
1st Guy,2
Narrator Voice,2
Theater Usher,2
Audience Member,2
Peggy,2
The gang's brains,2
Everyone but Ferb,2
Zombie 1,2
Game Announcer,2
Mechanical mother,2
Nostril in Jacket,2
Denmother Puppet,2
Nostrils Fan #1,2
Nostril #3,2
Rainbow,2
Monster,2
Wax Lincoln Robot,2
Buck Buckerson,2
Man 8,2
Viking,2
Trick or Treaters,2
Scarlet Pimpernel,2
Male computer voice,2
Baseball Announcer,2
Woman 3,2
Man in audience,2
Assistant,2
Voice from the Civil War Coin,2
Sweary,2
Man (in Squirrel Costume),2
Id,2
Worker #1,2
Worker #2,2
The Ba-dink-a-dinks,2
Boy #4,2
Ferbalot,2
Elderly Phineas,2
Newspaper Boy,2
(original),2
Stormtrooper 6,2
Clay Aiken,2
Substitute teacher announcer,2
Charitable Charities Manager 3,2
Sailor 2,2
Sailor 1,2
Nicolette,2
Pet owner 3,2
Male Teacher,2
Uncle Maulik,2
Man 9,2
Baby Phineas,2
Villain,2
Young Adult Doofenshmirtz,2
Single Guy,2
Hotel Worker,2
Yoga Instructor,2
Lifeguard,2
Mom Cloud,2
Guards,2
Doof zombie (Roger),2
Don Adaded,2
Guard #2,2
Guard #1,2
"Nerdcrow (Baljeet), Jeremy-Tree, Lion-Tiger-Bear Guy (Buford)",2
Major Mongram,2
Marty the Rabbit Boy,2
Ronaldo,2
Mrs. Feyersied,2
The Regurgitator,2
Oven Repairman,2
Phineas & Isabella,2
Person 3,2
Morty Williams,2
The Patchkins,2
Punk girls,2
Japanese Guy,2
Drusselstinian bullies,2
Doof zombie (Candace),2
"Isabella, Baljeet and Irving",2
GPS,2
Buford and Isabella,2
Chicken,2
Herman,2
Guy in Ducky Momo costume,2
Buford's mom,2
Baljeet's mom,2
P. P. Otter,2
Robert,2
Diner 2,2
Ballpit Kid,2
Repairman,2
Blind,2
Police,2
Police officer,2
Pharaoh,2
Fighter jet Pilot,2
Phineas/Ferb,2
Boat captain,2
Old lady,2
Steve 2,2
Harry the Hyena,2
Elizabeth,2
Snowman,2
Alarm,2
Whale,2
OWCA Day-Players,2
Martian,2
Josh,2
Unknown guy,2
Gelatin Monster,2
Wrist communicator,2
Bobbi Fabulous,2
Operator,2
Scientist 3,2
Scientist 1,2
Wanda Acronym,2
Elf,2
Detective/Narrator,2
Balloon Man,2
Spanish Man on TV,2
Bad Future and Future Candace,2
Don,2
Imperial Officer 6,2
Young Heinz,2
Mr. Johnson,2
Professor Onassis,2
Imperial Officer 7,2
Hoarfrost,2
Imperial Officer Wayne,2
Sport Announcer,2
Juan,2
Queuing man,2
Jeremiah,2
Computer Phineas,2
Vanny Van Stomm,2
Phineas and Ferb,2
Platypus monster,2
Kenny Ortega,2
Young Mishti,2
Joe #5,2
Shadowy Figure,2
Intercom,2
Joe #4,2
Joe #3,2
Porkins,2
Background Singers,2
Future Doofenshmirtz,2
Isabella and Buford,2
Police chief,2
Alien-inator,2
Linda/Lindana,2
Vanessa/Candace,2
Cantina MC,2
Man #5,2
Future Candaces,2
Off-Screen Voice,2
Delivery Man 3,2
Control Freak,2
Trucker,2
Baby alien,2
Zoetrope Deity,2
Billy,2
Dryer Repairman,2
Man in audience 8,1
Man in audience 7,1
Scarlet Pimpernel 3,1
Stan Lee,1
Kiosk Girl,1
Japanese Announcer,1
Baljeet #,1
Girl at Bar 2,1
All Scarlet Pimpernels,1
OWCA Day-Player,1
Napoleon (cont'd),1
Pet owners,1
Scarlet Pimpernel 1,1
Holly and Katie,1
Baljeets,1
Third Baljeet,1
Major Monogram and Agents,1
Woman in audience 2,1
Baljeet #5,1
Major Monogram (cont'd),1
All other Baljeets,1
Commander Rrrrrg,1
Man in audience 5,1
New Yorker,1
All the Baljeets at once,1
Marvel Heroes,1
Woman at Monitor,1
Sign Painter,1
Beaver owner,1
Knight,1
Giant Floating Doofy Head,1
Vinnie,1
Cowboy,1
Agent M,1
Soldier,1
Greek,1
Honey Badger Guard,1
Jump Instructor,1
Tech Officer #1,1
Temp Vet,1
Scarlet Pimpernel 2,1
Dexter,1
Cop,1
Man in audience 6,1
Leader,1
Baljeet #3,1
Slushy Dawg Manager,1
Little Old Lady,1
