Name,Dialog,Category
Buford,"It's an interesting question you pose, as it reveals not only one's impulses and desires but one's deepest fears as well. I'll go with Belchman.",Philosophy 
Buford,"Fooled ya'! It's me, Buford! And my voice isn't horrible, it's raspy! You gotta spend hours screamin' in the closet to get it like this. Hours!",?
Buford,"Wait a minute! Okay, stay with me on this. She's empty and all alone in this world, right? Well, I know someone else who's empty and all alone.",Philosophy 
Buford,"And if you follow me now, you'll see Candace's recurring nightmares. Come on, people. Try and stay with the group. Hey, where are they going?",?
Buford,"Aaah, fine! I was feeling creatively stifled by you anyway! And you! You just cost me a perfectly good nerd! Maybe I'll make you my new nerd.",Relationships 
Buford,"Wow, it's all just one, big place. No Bi-State area. No Adjacent Area, It's all just one big Tri-State Area, right over there! Uh-oh. Mamma!",Info dumping 
Buford,"Farewell, Chowdina. Farewell. Chowdina, won't you say goodbye? Oh, that's right. Your voice was just a coping mechanism. ""Farewell, Buford.""",?
Buford,"Oh, oh! Can I blow a super huge one? So I can crawl inside it and float around like a little woodland pixie? Did I just say that out loud?",Info dumping 
Buford,"Alright, you two, let's get somethin' straight here. There'll be NO messin' with the Buford. Don't make no diff how many of you there are!",?
Buford,"Suddenly, from out of the shadows, the zombie bunny rabbit appeared and then he...ate up all the marshmallows!!! Numnumnumnumnumnunmnum!!!",Food 
Buford,"Nah, just messin' with ya. I found it on the other side of the fence. I saw it fall out of the lock when the capsule dropped from the sky.",?
Buford,Excusez-moi mon bon monsieur. Auriez-vous par hazard un soup√ßon d'huile de cuisson que nous pourrions utiliser sans nous d√©merder un sou?,food
Buford,"We were just...at the bounce house...down at the Meatloaf Festival...and...and I was there, you know, having a good time, and suddenly...",Food 
Buford,"The sun is on the meridian and the wind is blowing out of the southeast and temperature is the perfect balmy 75¬∞. Whoa! Thanks, Isabella.",?
Buford,"So what you're sayin' is that it advocates a mixed economy, where significant roles are played by the private sector, and the government?",Philosophy 
Buford,My mom always just throws all our leftovers into a pot and makes a giant casserole. It's best to just eat first and ask questions later.,Food 
