Name,Dialog,Topic
Buford,"Suddenly, from out of the shadows, (making a shadow puppet) the zombie bunny rabbit appeared and then he...ate up all the marshmallows!!! Numnumnumnumnumnunmnum!!!",Food
Buford,"Nah, just messin' with ya. I found it on the other side of the fence. I saw it fall out of the lock when the capsule dropped from the sky.",Relationships
Buford,"(Cracks his fingers) Excusez-moi mon bon monsieur. Auriez-vous par hazard un soupçon d'huile de cuisson que nous pourrions utiliser sans nous démerder un sou? (Excuse me, good sir. Would you by chance have a touch of cooking oil that we could use without losing a penny?)",Food
Buford,"We were just...at the bounce house...down at the Meatloaf Festival...and...and I was there, you know, having a good time, and suddenly...",Food
Buford,"(in background) The sun is on the meridian and the wind is blowing out of the southeast (onscreen; he too is ""hypnotized"".) and temperature is the perfect balmy 75°. (Isabella slaps him; he comes to.) Whoa! Thanks, Isabella.",Science / Inventions
Buford,"So what you're sayin' is that it advocates a mixed economy, where significant roles are played by the private sector, and the government?",Philosophy
Buford,My mom always just throws all our leftovers into a pot and makes a giant casserole. (to Isabella) It's best to just eat first and ask questions later.,Food
Buford,"I don't want your life story. Grab a shield, come back with it, or on it. Irving, go get some more baklava, come back with it, or on it.",Food
Buford,"Chowdina! What happened to the magic? Did I do something wrong? It's okay, Chowdina. Even if I have to carry you back, we'll find a way.",Relationships
Buford,"Yes! (Sobbing) He changed my life, you know. I used to be a wimp, like you. But then, one day, at the carnival, I was somehow drawn to this game.",Image
Buford,This is it! This is how Stumbleberry Finkbat ends! The Man in Really Dark Grey swings in to rescue the Freakishly Long-Necked Princess!,Infodumping
Buford,"You gotta be kiddin' me! Who looked at this idea and said, ""Yeah, that'd be fun""?! Y'see?! This is what happens when we have no intro!",Image
Buford,"Ladies, I was lookin' for some makeup to prank Baljeet, but I see now we're playin' truth-or-dare. Dare me anythin'. I only do dares.",Relationships
Buford,"And my eyes hurt from watchin' ya do it. Hey! What if we grew a giant banana, and made a giant peeler, so we'll only hafta peel once?",Food
Buford,"Y'know, some days you're flyin' high on a green cloud of friendship magic, while others, you're fish food in the bottom of the ocean.",Relationships
Buford,"What gets me is, why did the Trojan War take so long? If I were Achilles, I could've taken the city of Troy, like, in one afternoon.",Infodumping
Buford,"Well, we finally got to the musical part of the story. We all decided it was high time to teach the squirrels how to be squirrels.",Infodumping
Buford,"Argh! One day somebody's gonna ask me for some obscure musical instrument, and it ain't gonna be there. What's gonna happen then? (Pulls out the piccolo and plays the Eb above high C)",Image
Buford,"(to Baljeet) Okay, Sleepmaster General, it's 9:29. Hand over the skin-safe nontoxic markers so I can draw on your face when you fall asleep.",Relationships
Buford,"Hey, Baljeet! (Hulkjeet roars and picks Buford up by the shirt.) Heh heh heh...heh...I'm so happy that I found you! I worry about you, you know. Because...you're my best friend.",Relationships
Buford,"Eh, I'm more of a lingonberry kind of guy. (Candace returns to the backyard as Gary Frank) Hey, you're back. I'll take a large pie with andouille sausage and chocolate chips.",Food
Buford,"(voiceover) ...to string up our Christmas lights, but she always forgets to take 'em down! So, year after year, he hangs up more, until...",Infodumping
Buford,"Has it only been three months? 'Cause I've been adding up all of the things we built this summer, and we're way over one-fif—",Phineas and Ferb
Buford,"Yeah, yeah, main title, whatever. But I think I see the potential. Like, you could use them to make a giant birthday paddle.",Science / Inventions
Buford,"I'm just sayin', ev'rything the guy owns is black! You think maybe... (Candace signals for them to stop) What? (Cut to Leia putting the disc in R2-D2) Oh, there's somebody doin' somethin' over there.",Image
Buford,"Sorry, Dr. Doothenasia. But there comes a time when you don't wanna bully everyone. (He looks back dramatically, with a single tear falling from his eye) You just wanna bully someone you love.",Relationships
Buford,"Yeah! Couch! I couldn't think of the word! There's also this big metal device labeled ""vaporizer-inator"". But it's broken.",Science / Inventions
Buford,"We could tie each of you to a monster truck and drive in opposite directions. Worst-case scenario, someone loses a torso.",Relationships
Buford,"I'll be the judge of that, step aside. This better be worth a quarter. (Sarcastically, as the ride shakes back and forth) Ooh. This is so exciting. Let me catch my breath.",Infodumping
Buford,"Ah, no can do, Dinner Bell! It's family day, and the Van Stomms from the low countries are visiting. (walks away) Buford is outie, G!",Relationships
Buford,"Found this perfectly good robe just lying around. Has one hole, right here. Hey, look what else I just found! My hoagie!",Infodumping
Buford,"Oh, come on! It was so obvious! She came over to your house every day for eleven years, just to see what you were doin'!",Relationships
Buford,"(walking over to Phineas and Ferb) Yeah, it's pretty mega, but is it really grand finale material worthy (hugs Phineas and Ferb) of these two guys? (pausing and realizing what he did) I just made it weird, didn't I?",Phineas and Ferb
Buford,"Good job, cadets! Now, back down the tree. No, not like that! Head first! Sheesh, it's like I'm talking to myself here.",Relationships
Buford,"Well, you're the only one here to talk to. Except for Volley-Baljeet. (He picks up a Wilson-type ball, imitating Baljeet.) ""I do not use contractions."" (stomach growls) Buford so hungry.",Food
Buford,"Brain teasers, huh? Alright you do all the ones that rely on brains, and I'll do all the ones that rely on teasin'.",Relationships
Buford,Look at what Baljeet did to my candy bar. He got his peanut butter on my chocolate. Look at this mess! Look at it! (shoves the candy bar in Phineas's face),Food
Buford,"There they are. I thought we'd never catch up. Goin' old school this year, I see. Sweet. No costume, huh, Candace?",Relationships
Buford,"(grabbing a ladder) Hey, everybody, what say we put aside our differences long enough to enjoy this unexpected, comically large wheel?",Philosophy
Buford,"First, let's get one thing straight: I'm not crying. I'm just sweating through my eyes. And second...I lost Biff! (Sobbing)",Image
Buford,I've got his right arm. (Perry is forced to slap himself again) Why are you hitting yourself? Why are you hitting yourself? Why are you hitting yourself? (Laughs),Relationships
Buford,"That was cool! I didn't have to do anything! The outfit did all the work! Whoa Phineas, which way are you facing?",Phineas and Ferb
Buford,"No, no, no, no, no! Ya gotta have pranks! Prank calls, Prank Sinatra, prank hand in warm water, stuff like that.",Image
Buford,"Oh, look at the little guys, they're like little bullies! I am both proud and ready to soil my pants in terror.",Image
Buford,"Hey, I got the legs for it. (takes off wig) Ah, New Mexico. My great grandfather once saw something mysterious in New Mexico...",Relationships
Buford,"I wuz just thinkin', wouldn't it be cathartic ta pound a buncha carnivorous plants inta submission with a book?",Philosophy
Buford,"I know what we're gonna do today! We're gonna build a stick-throwing target practice arena! Hey, where's Perry?",Phineas and Ferb
Buford,"Of all the clearings, in all the woods, in all the world, she had to walk into mine. (Buford's phone rings) Tell me she was deported!",Relationships
Buford,"You know, this smoothie isn't really unusual or exotic. It's about as exotic as a stay-cation with Aunt Meryl!",Food
Buford,"Fine, for the record though, it's the ""Be Prepared for Every Eventuality"" song. It's in the imperative tense. (walks away angrily)",Infodumping
Buford,"Oh, Ferb says I should tell you we're about to start washing the house, and you can help us out if you want!",Phineas and Ferb
Buford,The forest is crawlin' with patch-crazed Europeans and I'm a bear in the woods. What do you think I'm doing?,Philosophy
Buford,"No! No, you should not! (he is wearing the helmet) I used my now vastly superior intellect to build the world's largest wedgie machine!",Science / Inventions
Buford,"Wait a second. (slaps self) I coulda eaten the coconut! Eh, too much work. Sorry, stomach. Turns out I'm a poor provider.",Food
Buford,"(From atop a building, overlook the parade) If that parade makes it to the end, my hopes for the Adjacent Area secession are through. I gotta stop it.",Infodumping
Buford,"Huh, that's Swiss-picious! Well, I did it! A hundred cheese puns! (Seeing Perry walk up to them) Oh, and look, there's Perry! (Buford looks at the audience and bows.) And, scene.",Food
Buford,"You're lucky the gross factor outweighs the science factor, or you'd have a one-way ticket to wedgie town!",Relationships
Buford,"Took a few tries there! If I were thinking, I woulda just pressed this ""fly"" button. (He presses the fly button, causing the giant tire swing to launch, taking the pedestal with it) Oh, that kind of fly!",Science / Inventions
Buford,"Whoa, that's weird. I could throw balls no problem. (gets out a baseball) Watch dis! Dat can! Dat mosquito! Dat Hadron collider!",Science / Inventions
Buford,"Sorry to come back empty-handed, Chowdina. This whole food chain thing is more complicated than I thought.",Relationships
Buford,"(chewing gum) My chiropractor recommended it. It's just as humiliating as a half-nelson, and easier on my tennis elbow. (crunching loudly)",Infodumping
Lion-Tiger-Bear Guy (Buford),"I see you're into spider webs. Sure, they're classic, but overdone. We see you as more of a modern witch.",Relationships
Buford,"I got a pail of water, and a nest to make comfortable. I figure I can keep him in my garage 'till spring.",Infodumping
Buford,"There are no friends in these halls, Phineas. There are only my people, and those who must be destroyed.",Phineas and Ferb
Buford,"Man, these family reunions with our traditional custom of felling a tree together can get awfully tense.",Relationships
Buford,"Little Master, Little Master, I finished color-coding all of your overalls. Whadaya want me to do next?",Relationships
Buford,Singular goodness. (To Baljeet) Why don't you grab your peanut butter and your swimsuit and meet me at the flagpole. (He and Baljeet walk away.),Food
Buford,"I thought they only served subpoenas! (pause) Oh, come on! What's a guy gotta do to get a rimshot around here?!",Infodumping
